season,team,avg_class,freshman_min_pct,sophomore_min_pct,junior_min_pct,senior_min_pct,underclass_min_pct,player_count
2015,Hawaii,2.413,11.1,50.3,24.8,13.8,61.4,13
2015,New Orleans,2.346,23.3,41.3,12.8,22.6,64.6,12
2015,Iowa St.,2.984,1.7,24.7,47.2,26.5,26.4,14
2015,USC,1.683,38.8,54.2,7.1,0.0,92.9,13
2015,Vermont,1.982,42.5,30.7,13.0,13.8,73.2,13
2015,Utah Valley,3.016,5.7,16.6,48.2,29.5,22.3,14
2015,Michigan,2.041,34.5,33.6,25.0,6.9,68.1,16
2015,UMBC,2.396,34.8,17.5,20.8,26.9,52.2,13
2015,Stony Brook,2.142,35.4,15.0,49.6,0.0,50.4,12
2015,Alabama A&M,2.683,0.6,30.6,68.9,0.0,31.1,13
2015,Arkansas St.,2.589,0.0,41.1,58.9,0.0,41.1,12
2015,Florida St.,2.263,33.2,13.5,47.1,6.2,46.7,13
2015,Brown,2.380,15.0,51.5,14.1,19.4,66.5,14
2015,Southern Miss,2.655,16.8,25.9,32.3,25.0,42.7,13
2015,Oregon St.,2.712,3.7,21.3,75.0,0.0,25.0,13
2015,North Florida,2.795,0.1,40.4,39.4,20.1,40.5,10
2015,Indiana,1.981,37.1,27.6,35.2,0.0,64.8,15
2015,Utah St.,1.981,33.6,34.7,31.7,0.0,68.3,13
2015,LSU,2.072,13.6,67.3,17.4,1.7,80.9,15
2015,Grambling St.,2.339,19.2,43.4,21.8,15.6,62.6,13
2015,Mississippi Valley St.,2.571,12.8,29.7,23.5,28.6,42.6,15
2015,LIU,1.910,53.5,24.2,0.0,22.3,77.7,13
2015,Abilene Christian,2.960,13.5,3.0,57.4,26.1,16.5,14
2015,Central Arkansas,1.616,59.1,19.4,21.2,0.0,78.6,11
2015,Pacific,2.290,24.1,33.2,32.2,10.5,57.3,14
2015,Missouri,2.236,39.1,25.8,7.6,27.5,64.9,12
2015,Savannah St.,2.177,35.3,32.5,11.0,21.1,67.8,13
2015,Illinois St.,2.592,18.0,34.1,18.5,29.3,52.1,13
2015,Louisiana Monroe,3.052,0.0,20.2,54.3,25.4,20.2,11
2016,Oral Roberts,2.453,24.6,15.3,50.1,9.9,39.9,14
2016,North Carolina Central,3.384,5.8,0.5,43.2,50.5,6.3,15
2016,Kansas St.,2.567,34.4,0.2,39.7,25.7,34.6,13
2016,Southern,3.059,0.0,28.7,36.6,34.6,28.7,12
2016,Virginia,2.985,3.6,37.4,15.9,43.1,41.0,14
2016,Kent St.,3.207,10.2,2.9,42.8,44.1,13.1,12
2016,Oakland,2.675,9.9,36.2,30.4,23.5,46.1,11
2016,Texas Tech,2.716,4.4,46.7,21.6,27.2,51.2,15
2016,UNLV,2.324,29.0,35.8,9.1,26.1,64.7,14
2016,Jackson St.,2.990,4.3,15.0,58.1,22.6,19.3,16
2016,Grambling St.,2.861,14.6,4.6,60.8,20.0,19.2,13
2016,UTEP,2.662,22.1,17.8,32.0,28.2,39.9,15
2016,California,2.439,27.8,13.9,44.8,13.5,41.7,15
